,"Author: Gouveia, Amauri J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 20 (Of the 48 documents considered for the h-index, 20 have been cited at least 20 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2013,"Minocycline treatment and bone marrow mononuclear cell transplantation after endothelin-1 induced striatal ischemia",03603997,"Inflammation","36","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,2,1,3,2,3,1,0,1,0,22,0,22
2013,"Effects of methylmercury on electric organ discharges in the weak electric fish Gymnotus sylvius",19843054,"Psychology and Neuroscience","6","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,3
2012,"Modulation of microglial activation enhances neuroprotection and functional recovery derived from bone marrow mononuclear cell transplantation after cortical ischemia",01680102,"Neuroscience Research","73","2",0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,4,8,4,4,4,5,5,5,3,2,2,0,61,0,61
2012,"Subchronic effects of fluoxetine on conditioned suppression produced by a hot air blast",19843054,"Psychology and Neuroscience","5","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,4,0,4
2012,"Effects of mercury chloride (HgCl2) on Betta splendens aggressive display",11387416,"Spanish Journal of Psychology","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,6,0,6
2011,"Possible role of serotoninergic system in the neurobehavioral impairment induced by acute methylmercury exposure in zebrafish (Danio rerio)",08920362,"Neurotoxicology and Teratology","33","6",0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,6,5,6,8,5,4,1,6,8,2,2,68,0,68
2011,"Pharmacological analysis of zebrafish (Danio rerio) scototaxis",02785846,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","35","2",0,0,0,0,0,0,0,0,0,0,0,8,15,8,17,12,16,10,11,16,19,17,15,15,17,20,3,219,0,219
2011,"Neurophenotyping of adult zebrafish using the light/dark box paradigm",08932336,"Neuromethods","51","",0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,9,3,5,3,7,6,10,7,3,5,3,4,73,0,73
2010,"Measuring anxiety in zebrafish: A critical review",01664328,"Behavioural Brain Research","214","2",0,0,0,0,0,0,0,0,0,0,1,15,21,20,20,24,30,35,27,35,39,38,41,33,34,36,23,472,0,472
2010,"Parametric analyses of anxiety in zebrafish scototaxis",01664328,"Behavioural Brain Research","210","1",0,0,0,0,0,0,0,0,0,0,6,12,14,13,12,11,13,3,5,8,14,11,14,7,14,12,6,175,0,175
2010,"Scototaxis as anxiety-like behavior in fish",17542189,"Nature Protocols","5","2",0,0,0,0,0,0,0,0,0,0,8,23,20,12,15,19,25,22,28,42,40,33,38,37,44,34,25,465,0,465
2010,"Construct validity of behavioral models of anxiety: Where experimental psychopathology meets ecology and evolution",19843054,"Psychology and Neuroscience","3","1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,1,2,1,1,1,1,0,13,0,13
2007,"Effects of trophic poisoning with methylmercury on the appetitive elements of the agonistic sequence in fighting-fish (Betta Splendens)",11387416,"Spanish Journal of Psychology","10","2",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,6
2006,"Effects of mercury intoxication on the response of horizontal cells of the retina of thraira fish (Hoplias malabaricus)",0100879X,"Brazilian Journal of Medical and Biological Research","39","7",0,0,0,0,0,0,0,0,2,1,1,0,6,1,0,3,2,1,1,2,2,1,0,1,1,1,0,26,0,26
2005,"Anxiety levels and wild running susceptibility in rats: Assessment with elevated plus maze test and predator odor exposure",03766357,"Behavioural Processes","68","2",0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,2,2,0,0,0,1,1,2,1,0,0,0,15,0,15
2005,"Chronopotentiometric stripping analysis using gold electrodes, an efficient technique for mercury quantification in natural waters",10400397,"Electroanalysis","17","9",0,0,0,0,0,0,3,6,3,1,2,2,1,2,3,2,2,2,1,2,1,2,1,0,1,0,0,37,0,37
2004,"Influence of the estrous cycle on the behavior of rats in the elevated T-maze",03766357,"Behavioural Processes","67","2",0,0,0,0,0,0,0,1,0,0,1,0,5,3,3,1,2,3,2,1,3,4,4,3,4,1,1,42,0,42
