,"Author: Diniz, José Antônio Picanço",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 16 (Of the 56 documents considered for the h-index, 16 have been cited at least 16 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2004,"Blood monocyte alteration caused by a hematozoan infection in the lizard Ameiva ameiva (Reptilia: Teiidae)",09320113,"Parasitology Research","93","6",0,0,0,0,0,1,1,1,0,1,2,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,12,0,12
2004,"Isolation of Fonsecaea pedrosoi from thorns of Mimosa pudica, a probable natural source of chromoblastomycosis",00364665,"Revista do Instituto de Medicina Tropical de Sao Paulo","46","1",0,0,0,0,0,1,4,6,3,5,8,6,3,0,6,3,1,8,3,1,8,4,4,4,2,0,1,81,0,81
2002,"Some observations on the fine structure of trophozoites of the haemogregarine Cyrilia lignieresi (Adeleina: Haemogregarinidae) in erythrocytes of the fish Synbranchus marmoratus (Synbranchidae)",09320113,"Parasitology Research","88","7",0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,5,0,16,0,16
2002,"Comparison of Fonsecaea pedrosoi sclerotic cells obtained in vivo and in vitro: Ultrastructure and antigenicity",09288244,"FEMS Immunology and Medical Microbiology","33","1",0,0,0,1,2,3,2,2,3,1,3,2,2,2,1,2,0,4,3,1,1,1,3,0,0,1,1,41,0,41
2002,"Ultrastructural, antigenic and physicochemical characterization of the mojuí dos campos (Bunyavirus) isolated from bat in the Brazilian Amazon Region",00740276,"Memorias do Instituto Oswaldo Cruz","97","3",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,8,0,8
2000,"The fine structure of the axostyle and its associations with organelles in Trichomonads",00408166,"Tissue and Cell","32","2",0,2,3,1,2,1,0,0,3,1,0,1,1,1,0,0,1,2,1,0,0,0,2,2,2,0,0,26,0,26
2000,"The fine structure of Garnia gonadati and its association with the host cell",09320113,"Parasitology Research","86","12",0,1,0,1,0,2,0,0,0,0,0,1,1,2,1,0,2,0,0,1,0,0,0,1,2,0,0,15,0,15
1999,"Trophozoites of Giardia lamblia may have a Golgi-like structure",03781097,"FEMS Microbiology Letters","181","2",1,1,5,4,3,0,2,2,1,1,0,1,0,0,0,2,0,4,0,0,0,1,2,0,0,2,0,31,0,32
1999,"Presence of a protrusion on the ventral disk of adhered trophozoites of Giardia lambia",09320113,"Parasitology Research","85","12",0,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,11,0,11
1998,"Monocercomonas sp.: Cytochemistry and fine structure of freeze-fractured membranes",10665234,"Journal of Eukaryotic Microbiology","45","3",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3
1997,"Sulfated polysaccharides from the egg jelly layer are species-specific inducers of acrosomal reaction in sperms of sea urchins",00219258,"Journal of Biological Chemistry","272","11",27,10,10,3,12,6,6,10,13,6,6,8,6,10,2,8,4,2,6,1,5,5,3,2,2,6,0,152,0,179
1996,"A deep-etch study of the cytoskeleton of Giardia duodenalis",02484900,"Biology of the Cell","86","2-3",1,0,0,0,2,2,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,10,0,11
