,"Author: Monteiro, M. C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 29 (Of the 118 documents considered for the h-index, 29 have been cited at least 29 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2021,"Seeking the Regional Identity of Brown Propolis Produced in Southern Brazil and Linked to Total Levels of Bioactive Compounds and Biological Activity",26921944,"ACS Food Science and Technology","1","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,11,0,11
2021,"Polybia occidentalis and Polybia fastidiosa venom: a cytogenotoxic approach of effects on human and vegetal cells",01480545,"Drug and Chemical Toxicology","44","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3
2020,"Preclinical evidences of aluminum-induced neurotoxicity in hippocampus and pre-frontal cortex of rats exposed to low doses",01476513,"Ecotoxicology and Environmental Safety","206","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,8,10,5,42,0,42
2020,"Aluminum-Induced Toxicity in Salivary Glands of Mice After Long-term Exposure: Insights into the Redox State and Morphological Analyses",01634984,"Biological Trace Element Research","198","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,1,0,13,0,13
2020,"Theoretical and practical study of the cefoxitin-Escherichia coli PBP5 complex interaction by molecular dynamics to obtain computational prototype of antimicrobial susceptibility to Gram negative bacteria",17470277,"Chemical Biology and Drug Design","96","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2020,"Hippocampal impairment triggered by long-term lead exposure from adolescence to adulthood in rats: Insights from molecular to functional levels",14220067,"International Journal of Molecular Sciences","21","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,4,6,22,0,22
2020,"Agaricus brasiliensis Mushroom Protects Against Sepsis by Alleviating Oxidative and Inflammatory Response",16643224,"Frontiers in Immunology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,1,3,22,0,22
2020,"Blood oxidative stress modulates alveolar bone loss in chronically stressed rats",14220067,"International Journal of Molecular Sciences","21","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,4,1,15,0,15
2020,"Safety and effectiveness of copaiba oleoresin (C. reticulata ducke) on inflammation and tissue repair of oral wounds in rats",14220067,"International Journal of Molecular Sciences","21","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,3,5,3,22,0,22
2020,"β-Lapachone Increases Survival of Septic Mice by Regulating Inflammatory and Oxidative Response",19420900,"Oxidative Medicine and Cellular Longevity","2020","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,8,0,8
2020,"Ganoderma lucidum Ameliorates Neurobehavioral Changes and Oxidative Stress Induced by Ethanol Binge Drinking",19420900,"Oxidative Medicine and Cellular Longevity","2020","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,2,1,16,0,16
2020,"Piceatannol increases antioxidant defense and reduces cell death in human periodontal ligament fibroblast under oxidative stress",20763921,"Antioxidants","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,9,5,4,34,0,34
2020,"Comparison of the effects of Brazil nut oil and soybean oil on the cardiometabolic parameters of patients with metabolic syndrome: A randomized trial",20726643,"Nutrients","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,3,2,6,0,24,0,24
2019,"Epigenetic alterations caused by aflatoxin b1: a public health risk in the induction of hepatocellular carcinoma",19315244,"Translational Research","204","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,15,12,17,12,3,78,0,78
2019,"Mitochondrial dysfunction and alpha-lipoic acid: Beneficial or harmful in Alzheimer's disease?",19420900,"Oxidative Medicine and Cellular Longevity","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,15,16,11,23,4,83,0,83
2019,"Chemical composition, toxicity, antinociceptive, and anti-inflammatory activity of dry aqueous extract of varronia multispicata (Cham.) borhidi (Cordiaceae) Leaves",16639812,"Frontiers in Pharmacology","10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,4,0,1,14,0,14
2019,"Antioxidants as Adjuvants in Periodontitis Treatment: A Systematic Review and Meta-Analysis",19420900,"Oxidative Medicine and Cellular Longevity","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,8,9,12,5,50,0,50
2019,"Aerobic physical exercise as a neuroprotector strategy for ethanol binge-drinking effects in the hippocampus and systemic redox status in rats",19420900,"Oxidative Medicine and Cellular Longevity","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,2,3,3,2,18,0,18
2019,"Chemical and pharmacological aspects of caffeic acid and its activity in hepatocarcinoma",2234943X,"Frontiers in Oncology","9","JUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56,87,103,112,115,48,553,0,553
2019,"Aedes-chikungunya virus interaction: Key role of vector midguts microbiota and its saliva in the host infection",1664302X,"Frontiers in Microbiology","10","APR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7,2,6,2,32,0,32
2019,"""Special K"" drug on adolescent rats: Oxidative damage and neurobehavioral impairments",19420900,"Oxidative Medicine and Cellular Longevity","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,1,3,4,22,0,22
2019,"Physical Exercise Attenuates Oxidative Stress and Morphofunctional Cerebellar Damages Induced by the Ethanol Binge Drinking Paradigm from Adolescence to Adulthood in Rats",19420900,"Oxidative Medicine and Cellular Longevity","2019","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,3,3,3,5,0,26,0,26
2018,"Circular RNAs as Potential Theranostics in the Cardiovascular System",21622531,"Molecular Therapy Nucleic Acids","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,14,17,8,4,5,2,1,61,0,61
2018,"Salivary gland extract from aedes aegypti improves survival in murine polymicrobial sepsis through oxidative mechanisms",20734409,"Cells","7","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,1,1,1,10,0,10
2018,"Imidazolium salts as innovative agents against Leishmania amazonensis",15675769,"International Immunopharmacology","63","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,2,5,2,1,19,0,19
2018,"Repeated cycles of binge-like ethanol exposure induce immediate and delayed neurobehavioral changes and hippocampal dysfunction in adolescent female rats",01664328,"Behavioural Brain Research","350","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,8,5,3,7,3,43,0,43
2018,"Phloroglucinol derivatives from hypericum species trigger mitochondrial dysfunction in leishmania amazonensis",00081973,"Cambridge Law Journal","145","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,3,3,4,1,20,0,20
2018,"Unravelling motor behaviour hallmarks in intoxicated adolescents: methylmercury subtoxic-dose exposure and binge ethanol intake paradigm in rats",09441344,"Environmental Science and Pollution Research","25","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,1,1,0,0,15,0,15
2018,"Low doses of methylmercury intoxication solely or associated to ethanol binge drinking induce psychiatric-like disorders in adolescent female rats",13826689,"Environmental Toxicology and Pharmacology","60","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4,6,2,2,1,0,25,0,25
2018,"MicroRNAs in cell cycle progression and proliferation: molecular mechanisms and pathways",25226673,"Non-Coding RNA Investigation","2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,5,4,9,9,0,33,0,33
2018,"Biochemical characterization of a phospholipase A2 homologue from the venom of the social wasp Polybia occidentalis",16789199,"Journal of Venomous Animals and Toxins Including Tropical Diseases","24","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,3
2018,"Protective mechanisms of butyrate on inflammatory bowel disease",13816128,"Current Pharmaceutical Design","24","35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18,26,27,21,16,12,1,125,0,125
2018,"Neuroprotective mechanisms of resveratrol in Alzheimer’s disease: Role of SIRT1",19420900,"Oxidative Medicine and Cellular Longevity","2018","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,63,54,51,45,53,23,353,0,353
2018,"Chronic exposure to sodium fluoride triggers oxidative biochemistry misbalance in mice: Effects on peripheral blood circulation",19420900,"Oxidative Medicine and Cellular Longevity","2018","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,12,9,10,7,1,63,0,63
2018,"Repeated cycles of binge-like ethanol intake in adolescent female rats induce motor function impairment and oxidative damage in motor cortex and liver, but not in blood",19420900,"Oxidative Medicine and Cellular Longevity","2018","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,6,4,4,6,2,37,0,37
2017,"Resveratrol role in autoimmune disease—a mini-review",20726643,"Nutrients","9","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,18,20,11,14,16,3,113,0,113
2017,"Thiamine deficiency, oxidative metabolic pathways and ethanol-induced neurotoxicity: How poor nutrition contributes to the alcoholic syndrome, as Marchiafava-Bignami disease",09543007,"European Journal of Clinical Nutrition","71","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,4,10,6,9,7,6,7,62,0,62
2017,"Nimesulide inhibits pathogenic fungi: PGE2-dependent mechanisms",00155632,"Folia Microbiologica","62","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,1,1,2,0,12,0,12
2017,"Ethanol: Neurotoxicity and Brain Disorders",,"Addictive Substances and Neurological Disease: Alcohol, Tobacco, Caffeine, and Drugs of Abuse in Everyday Lifestyles","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,0,8,0,8
2017,"Immune modulation of some autoimmune diseases: The critical role of macrophages and neutrophils in the innate and adaptive immunity",14795876,"Journal of Translational Medicine","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,33,32,38,36,27,47,39,15,312,0,312
2017,"The influence of phenolic compounds from coffee and tea on postprandial cardiovascular stress: a mini-review",22147993,"Current Opinion in Food Science","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
2017,"Extracellular vesicles in cardiovascular theranostics",18387640,"Theranostics","7","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,19,27,18,9,13,11,8,138,0,138
2017,"Dual behavior of exosomes in septic cardiomyopathy",00652598,"Advances in Experimental Medicine and Biology","998","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,1,2,1,2,0,17,0,17
2017,"Antifungal activity of hydroalcoholic extract of Chrysobalanus icaco against oral clinical isolates of Candida Species",09764836,"Pharmacognosy Research","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,1,2,3,0,1,18,0,18
2017,"Neuroprotection in Neurodegenerative Disease: From Basic Science to Clinical Applications",19420900,"Oxidative Medicine and Cellular Longevity","2017","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,2,2,4,3,18,0,18
2016,"Action mechanism and cardiovascular effect of anthocyanins: A systematic review of animal and human studies",14795876,"Journal of Translational Medicine","14","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,18,35,27,34,28,26,18,9,223,0,223
2016,"Neutrophils influx and proinflammatory cytokines inhibition by sodium salicylate, unlike aspirin, in Candida albicans-induced peritonitis model",00155632,"Folia Microbiologica","61","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,3
2016,"Ethnobotany, phytochemistry and neuropharmacological effects of Petiveria alliacea L. (Phytolaccaceae): A review",03788741,"Journal of Ethnopharmacology","185","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,7,3,3,10,13,7,9,3,71,0,71
2016,"Neurobehavioral and Antioxidant Effects of Ethanolic Extract of Yellow Propolis",19420900,"Oxidative Medicine and Cellular Longevity","2016","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,4,3,3,1,6,0,28,0,28
2016,"Comparative Study of Chemical Composition and Biological Activity of Yellow, Green, Brown, and Red Brazilian Propolis",1741427X,"Evidence-based Complementary and Alternative Medicine","2016","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,9,10,11,17,8,9,12,1,88,0,88
2015,"In vitro protective effect and antioxidant mechanism of resveratrol induced by dapsone hydroxylamine in human cells",19326203,"PLoS ONE","10","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,5,9,2,5,1,3,3,45,0,45
2015,"Neurological disease in human and canine leishmaniasis - clinical features and immunopathogenesis",01419838,"Parasite Immunology","37","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,1,2,2,0,3,2,4,1,26,0,26
2015,"Involvement of electron and hydrogen transfers through redox metabolism on activity and toxicity of the nimesulide",16102940,"Journal of Molecular Modeling","21","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,0,2,2,1,1,15,0,15
2015,"Antimicrobial bioassay-guided fractionation of a methanol extract of Eupatorium triplinerve",13880209,"Pharmaceutical Biology","53","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,2,0,0,1,2,16,0,16
2015,"Dietary polysaccharides and immune modulation",,"Polysaccharides: Bioactivity and Biotechnology","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2
2015,"Nociceptin/Orphanin FQ-NOP Receptor System in Inflammatory and Immune-Mediated Diseases",00836729,"Vitamins and Hormones","97","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,0,2,25,0,25
2014,"Antibacterial activity of the Piper aduncum oil and dillapiole, Its main constituent, Against multidrug-resistant strains",07177917,"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","13","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,4,3,4,4,1,1,22,0,22
2014,"Antidepressant- and anxiolytic-like activities of an oil extract of propolis in rats",09447113,"Phytomedicine","21","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,2,2,1,4,6,2,4,4,2,38,0,38
2014,"Clinical oxidative stress during leprosy multidrug therapy: Impact of dapsone oxidation",19326203,"PLoS ONE","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,3,4,4,2,0,3,1,2,2,29,0,29
