,"Author: Silva, Edilene Oliveira Da",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 17 (Of the 51 documents considered for the h-index, 17 have been cited at least 17 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2015,"In vitro biological action of aqueous extract from roots of Physalis angulata against Leishmania (Leishmania) amazonensis",14726882,"BMC Complementary and Alternative Medicine","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,4,5,3,2,2,5,1,0,32,0,32
2014,"Physalis angulata induces in vitro differentiation of murine bone marrow cells into macrophages",14712121,"BMC Cell Biology","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,0,1,1,0,0,11,0,11
2014,"A novel function for kojic acid, a secondary metabolite from Aspergillus fungi, as antileishmanial agent",19326203,"PLoS ONE","9","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,5,3,4,10,3,4,5,2,50,0,50
2014,"Combined kinetic studies and computational analysis on kojic acid analogs as tyrosinase inhibitors",14203049,"Molecules","19","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,4,5,8,5,6,4,3,4,50,0,50
2013,"Phosphatidylserine exposure and surface sugars in two leishmania (Viannia) braziliensis strains involved in cutaneous and mucocutaneous leishmaniasis",00221899,"Journal of Infectious Diseases","207","3",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,3,2,1,1,0,1,0,2,0,16,0,16
2011,"Distribution of phlebotomine fauna (Diptera: Psychodidae) across an urban-rural gradient in an area of endemic visceral leishmaniasis in Northern Brazil",00740276,"Memorias do Instituto Oswaldo Cruz","106","8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,2,1,1,1,0,0,0,0,11,0,11
2011,"Kojic acid, a secondary metabolite from Aspergillus sp., acts as an inducer of macrophage activation",10656995,"Cell Biology International","35","4",0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,2,2,1,4,6,4,2,2,4,6,2,0,48,0,48
2010,"Hematological parameters of Ameiva ameiva (Reptilia: Teiidae) naturally infected with hemogregarine: Confirmation of monocytosis",03044017,"Veterinary Parasitology","171","1-2",0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,0,1,0,2,1,1,1,0,1,0,0,17,0,17
2010,"Activity of the julocrotine, a glutarimide alkaloid from Croton pullei var. glabrior, on Leishmania (L.) amazonensis",09320113,"Parasitology Research","107","5",0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,4,1,0,5,1,2,3,2,7,1,5,2,44,0,44
2009,"Characterization in vivo and in vitro of a strain of Leishmania (Viannia) shawi from the Amazon Region",13835769,"Parasitology International","58","2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,4
2008,"Crystal structure and theoretical calculations of Julocrotine, a natural product with antileishmanial activity",00207608,"International Journal of Quantum Chemistry","108","3",0,0,0,0,0,0,0,0,1,0,2,4,1,1,0,0,0,0,1,2,0,0,1,2,0,0,0,15,0,15
2006,"Ultrastructural study of the gametocytes and merogonic stages of Fallisia audaciosa (Haemosporina: Garniidae) that infect neutrophils of the lizard Plica umbra (Reptilia: Iguanidae)",14344610,"Protist","157","1",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5
2005,"Ultrastructural aspects of Fallisia effusa (Haemosporina: Garniidae) in thrombocytes of the lizard Neusticurus bicarinatus (Reptilia: Teiidae)",14344610,"Protist","156","1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,4
2005,"Cytochemical and functional characterization of blood and inflammatory cells from the lizard Ameiva ameiva",00408166,"Tissue and Cell","37","3",0,0,0,0,0,0,0,1,2,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
2004,"Blood monocyte alteration caused by a hematozoan infection in the lizard Ameiva ameiva (Reptilia: Teiidae)",09320113,"Parasitology Research","93","6",0,0,0,0,0,1,1,1,0,1,2,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,12,0,12
2002,"Some observations on the fine structure of trophozoites of the haemogregarine Cyrilia lignieresi (Adeleina: Haemogregarinidae) in erythrocytes of the fish Synbranchus marmoratus (Synbranchidae)",09320113,"Parasitology Research","88","7",0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,5,0,16,0,16
2000,"Isolation and functional characterization of the PfNT1 nucleoside transporter gene from Plasmodium falciparum",00219258,"Journal of Biological Chemistry","275","14",4,6,7,8,9,7,5,9,10,3,9,2,5,3,4,3,5,3,3,3,6,2,3,2,2,2,1,122,0,126
2000,"The fine structure of Garnia gonadati and its association with the host cell",09320113,"Parasitology Research","86","12",0,1,0,1,0,2,0,0,0,0,0,1,1,2,1,0,2,0,0,1,0,0,0,1,2,0,0,15,0,15
1998,"Cell surface characterization of amastigotes of Trypanosoma cruzi obtained from different sources",09320113,"Parasitology Research","84","4",1,2,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,12,0,13
