,"Author: Oliveira, Karen R.H.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 19 (Of the 52 documents considered for the h-index, 19 have been cited at least 19 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2016,"Time-dependent sensitization of stress responses in zebrafish: A putative model for post-traumatic stress disorder",03766357,"Behavioural Processes","128","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,3,1,3,3,7,2,37,0,37
2016,"Glutathione-induced calcium shifts in chick retinal glial cells",19326203,"PLoS ONE","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,6,3,5,2,2,2,0,35,0,35
2015,"Putative involvement of the nitrergic system on the consolidation, but not initiation, of behavioral sensitization after conspecific alarm substance in zebrafish",00913057,"Pharmacology Biochemistry and Behavior","139","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,5,0,12,0,12
2015,"Non-mammalian models in behavioral neuroscience: Consequences for biological psychiatry",16625153,"Frontiers in Behavioral Neuroscience","9","September",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,7,9,4,10,3,6,5,0,59,0,59
2015,"Role of nitric oxide in the behavioral and neurochemical effects of IB-MECA in zebrafish",00333158,"Psychopharmacology","232","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,7,0,7
2015,"Interaction between 5-HT1B receptors and nitric oxide in zebrafish responses to novelty",03043940,"Neuroscience Letters","588","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,3,1,0,5,0,18,0,18
2014,"Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system",15458547,"Zebrafish","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,2,3,3,1,2,35,0,35
2014,"Fingerprinting of psychoactive drugs in zebrafish anxiety-like behaviors",19326203,"PLoS ONE","9","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,7,7,11,9,4,10,3,10,9,2,91,0,91
2014,"Nitric oxide as a regulatory molecule in the processing of the visual stimulus",10898603,"Nitric Oxide - Biology and Chemistry","36","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,4,3,2,1,1,1,0,0,18,0,18
2014,"Therapeutic concentration of morphine reduces oxidative stress in glioma cell line",0100879X,"Brazilian Journal of Medical and Biological Research","47","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,4,6,1,2,3,0,29,0,29
2013,"GABA and glutamate transporters: New events and function in the vertebrate retina",19843054,"Psychology and Neuroscience","6","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,3
2013,"Local NO synthase inhibition produces histological and functional recovery in Achilles tendon of rats after tenotomy: Tendon repair and local NOS inhibition",0302766X,"Cell and Tissue Research","353","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,1,1,0,1,0,1,11,0,11
2013,"Behavioral and neurochemical changes in the zebrafish leopard strain",16011848,"Genes, Brain and Behavior","12","5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,7,6,7,3,8,4,2,7,7,2,73,0,73
2013,"The serotonergic system of zebrafish: Genomics, neuroanatomy and neuropharmacology",,"Serotonin: Biosynthesis, Regulation and Health Implications","","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,4,2,3,1,1,0,1,1,0,19,0,19
2013,""" Limbic associative"" and "" autonomic"" amygdala in teleosts: A review of the evidence",08910618,"Journal of Chemical Neuroanatomy","48-49","",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,8,10,4,4,6,10,1,3,2,2,68,0,68
2012,"A comparison of the light/dark and novel tank tests in zebrafish",00057959,"Behaviour","149","10-12",0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,5,6,8,8,7,9,11,5,8,5,90,0,90
2012,"Determination of glutamate uptake by high performance liquid chromatography (HPLC) in preparations of retinal tissue",15700232,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","907","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,3,3,0,3,1,4,1,0,22,0,22
2011,"Possible role of serotoninergic system in the neurobehavioral impairment induced by acute methylmercury exposure in zebrafish (Danio rerio)",08920362,"Neurotoxicology and Teratology","33","6",0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,6,5,6,8,5,4,1,6,8,2,2,68,0,68
2011,"Glutamate induces glutathione efflux mediated by glutamate/aspartate transporter in retinal cell cultures",03643190,"Neurochemical Research","36","3",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,10,0,10
2010,"Pharmacological characterization of glutamate Na+-independent transport in retinal cell cultures: Implications in the glutathione metabolism",01970186,"Neurochemistry International","56","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0,4
2008,"Methylmercury neurotoxicity & antioxidant defenses",09715916,"Indian Journal of Medical Research","128","4",0,0,0,0,0,0,0,0,1,3,3,7,6,3,11,5,4,6,6,6,4,7,3,5,2,4,2,88,0,88
