,"Author: Nagamachi, Cleusa Yoshiko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 25 (Of the 160 documents considered for the h-index, 25 have been cited at least 25 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2021,"Archolaemus janeae (Gymnotiformes, Teleostei): First insights into karyotype and repetitive DNA distribution in two populations of the Amazon",20457758,"Ecology and Evolution","11","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,3
2021,"Comparative Cytogenetics Analysis Among Peckoltia Species (Siluriformes, Loricariidae): Insights on Karyotype Evolution and Biogeography in the Amazon Region",16648021,"Frontiers in Genetics","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,2,11,0,11
2021,"Comparative genomic mapping reveals mechanisms of chromosome diversification in Rhipidomys species (Rodentia, Thomasomyini) and syntenic relationship between species of Sigmodontinae",19326203,"PLoS ONE","16","10 October",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,9,0,9
2021,"Isolation and establishment of skin-derived and mesenchymal cells from south American bat Artibeus planirostris (Chiroptera – Phyllostomidae)",00408166,"Tissue and Cell","71","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
2021,"New karyotype for Mesomys stimulax (Rodentia, Echimyidae) from the Brazilian Amazon: A case for species complex?",20457758,"Ecology and Evolution","11","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
2021,"Andiroba oil and nanoemulsion (Carapa guianensis Aublet) reduce lesion severity caused by the antineoplastic agent doxorubicin in mice",07533322,"Biomedicine and Pharmacotherapy","138","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,1,11,0,11
2021,"Bioactive compounds and evaluation of antioxidant, cytotoxic and cytoprotective effects of murici pulp extracts (Byrsonima crassifolia) obtained by supercritical extraction in hepg2 cells treated with h2o2",23048158,"Foods","10","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,3,19,0,19
2020,"Meiotic analyses show adaptations to maintenance of fertility in X1Y1X2Y2X3Y3X4Y4X5Y5 system of amazon frog Leptodactylus pentadactylus (Laurenti, 1768)",20452322,"Scientific Reports","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,3,12,0,12
2020,"Karyotypic divergence reveals that diversity in the Oecomys paricola complex (Rodentia, Sigmodontinae) from eastern Amazonia is higher than previously thought",19326203,"PLoS ONE","15","10 October",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,0,9,0,9
2020,"Lethal and sublethal exposure of Hemichromis bimaculatus (Gill, 1862) to malachite green and possible implications for ornamental fish",09441344,"Environmental Science and Pollution Research","27","26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,2,0,12,0,12
2020,"Andiroba oil (Carapa guianensis Aubl) shows cytotoxicity but no mutagenicity in the ACPP02 gastric cancer cell line",0260437X,"Journal of Applied Toxicology","40","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,5,1,19,0,19
2020,"Karyotypic diversity within the genus Makalata (Echimyidae: Echimyinae) of Brazilian Amazon: Chromosomal evidence for multiple species",19326203,"PLoS ONE","15","7 July",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,3
2020,"Chromosome evolution in Lophyohylini (Amphibia, Anura, Hylinae)",19326203,"PLoS ONE","15","6 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,6,0,6
2020,"Molecular cytogenetics characterization of Rhinoclemmys punctularia (Testudines, Geoemydidae) and description of a Gypsy-H3 association in its genome",03781119,"Gene","738","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0,1,1,11,0,11
