,"Author: Pereira, Antonio P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 21 (Of the 76 documents considered for the h-index, 21 have been cited at least 21 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2006,"Stimulus-response compatibility as a tool for studying motor behavior",01036564,"Psicologia USP","17","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3
2006,"Mirror neurons",01036564,"Psicologia USP","17","4",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,10,0,10
2005,"Neuropil reactivity, distribution and morphology of NADPH diaphorase type I neurons in the barrel cortex of the adult mouse",08910618,"Journal of Chemical Neuroanatomy","30","2-3",0,0,0,0,0,0,0,3,1,1,1,4,6,0,1,0,0,0,3,1,0,0,4,1,1,1,0,28,0,28
2005,"Differential expression of Zif268 and c-Fos in the primary visual cortex and lateral geniculate nucleus of normal Cebus monkeys and after monocular lesions",00219967,"Journal of Comparative Neurology","482","2",0,0,0,0,0,0,2,1,0,2,2,1,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,16,0,16
2004,"A morphometric study of the progressive changes on NADPH diaphorase activity in the developing rat's barrel field",01680102,"Neuroscience Research","50","1",0,0,0,0,0,1,0,3,2,0,2,1,4,1,2,0,0,2,1,0,0,1,3,0,1,1,0,25,0,25
2004,"Tooled for the Task: Vision in the Opossum",00063568,"BioScience","54","3",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,0,1,0,0,0,9,0,9
2003,"Manual responses to visual stimuli: Early and late facilitatory effects due to the offset of a peripheral cue",00042749,"Arquivos Brasileiros de Oftalmologia","66","5 SUPPL.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2000,"The barrel field of the adult mouse Sml cortex as revealed by NADPH- diaphorase histochemistry",09594965,"NeuroReport","11","9",0,1,0,2,1,1,0,3,2,1,1,1,4,0,1,0,0,0,1,2,0,1,1,1,1,1,0,26,0,26
1999,"Cortical and subcortical influences on the nucleus of the optic tract of the opossum",03064522,"Neuroscience","95","4",0,1,4,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
1998,"Cytochrome oxidase and NADPH-diaphorase on the afferent relay branch of the optokinetic reflex in the opossum",00219967,"Journal of Comparative Neurology","398","2",3,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10
1996,"On the functional anatomy of the nucleus of the optic tract-dorsal terminal nucleus commissural connection in the opossum (Didelphis marsupialis aurita)",03064522,"Neuroscience","76","1",3,2,3,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,0,16
1996,"The nucleus of the optic tract of the opossum.",00347108,"Revista brasileira de biologia","56 Su 1 Pt 2","",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1994,"Binocularity in the nucleus of the optic tract of the opossum",00144819,"Experimental Brain Research","102","2",6,3,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16
