,"Author: Do-Nascimento, José Luíz Martins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 35 (Of the 112 documents considered for the h-index, 35 have been cited at least 35 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2018,"Assessing mercury intoxication in isolated/remote populations: Increased S100B mRNA in blood in exposed riverine inhabitants of the Amazon",0161813X,"NeuroToxicology","68","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,11,3,7,2,1,1,33,0,33
2018,"Biological effects of kojic acid on human monocytes in vitro",07533322,"Biomedicine and Pharmacotherapy","101","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,3,4,4,0,24,0,24
2018,"Genetic susceptibility to neurodegeneration in Amazon: Apolipoprotein e genotyping in vulnerable populations exposed to mercury",16648021,"Frontiers in Genetics","9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,13,5,6,3,9,2,46,0,46
2018,"Role for apolipoprotein e in neurodegeneration and mercury intoxication",19450494,"Frontiers in Bioscience - Elite","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,6,3,6,2,2,1,30,0,30
2018,"Selective effects of Euterpe oleracea (açai) on Leishmania (Leishmania) amazonensis and Leishmania infantum",07533322,"Biomedicine and Pharmacotherapy","97","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,4,3,2,1,2,0,22,0,22
2018,"Large-scale projects in the amazon and human exposure to mercury: The case-study of the Tucuruí Dam",01476513,"Ecotoxicology and Environmental Safety","147","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,18,8,9,14,8,1,81,0,81
2017,"Cerebral malaria induces electrophysiological and neurochemical impairment in mice retinal tissue: Possible effect on glutathione and glutamatergic system",14752875,"Malaria Journal","16","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,2,1,12,0,12
2017,"Inhibition of tyrosinase by 4H-chromene analogs: Synthesis, kinetic studies, and computational analysis",17470277,"Chemical Biology and Drug Design","90","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,3,2,2,1,1,18,0,18
2017,"Structure and analgesic properties of layered double hydroxides intercalated with low amounts of ibuprofen",00027820,"Journal of the American Ceramic Society","100","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,1,0,9,0,9
2016,"Is low non-Lethal concentration of methylmercury really safe? A report on genotoxicity with delayed cell proliferation",19326203,"PLoS ONE","11","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,2,11,7,4,2,2,0,41,0,41
2016,"Cinnamaldehyde modulates LPS-induced systemic inflammatory response syndrome through TRPA1-dependent and independent mechanisms",15675769,"International Immunopharmacology","34","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,5,9,10,12,12,4,4,5,80,0,80
2016,"Glutathione-induced calcium shifts in chick retinal glial cells",19326203,"PLoS ONE","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,6,3,5,2,2,2,0,35,0,35
2016,"Physalis angulata induces death of promastigotes and amastigotes of Leishmania (Leishmania) amazonensis via the generation of reactive oxygen species",09684328,"Micron","82","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,2,1,1,1,1,1,0,21,0,21
2015,"Methylmercury inhibits prolactin release in a cell line of pituitary origin",0100879X,"Brazilian Journal of Medical and Biological Research","48","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,5,0,5
2015,"In vitro biological action of aqueous extract from roots of Physalis angulata against Leishmania (Leishmania) amazonensis",14726882,"BMC Complementary and Alternative Medicine","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,4,5,3,2,2,5,1,0,32,0,32
2015,"Antinociceptive activity and toxicity evaluation of the fatty oil from Plukenetia polyadenia mull. arg. (euphorbiaceae)",14203049,"Molecules","20","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,1,1,1,1,0,13,0,13
2015,"Anticonvulsant properties of Euterpe oleracea in mice",01970186,"Neurochemistry International","90","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,8,3,5,6,7,2,4,2,47,0,47
2014,"Morphine protects against methylmercury intoxication: A role for opioid receptors in oxidative stress?",19326203,"PLoS ONE","9","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,1,3,0,0,0,0,11,0,11
2014,"Physalis angulata induces in vitro differentiation of murine bone marrow cells into macrophages",14712121,"BMC Cell Biology","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,0,1,1,0,0,11,0,11
2014,"A novel function for kojic acid, a secondary metabolite from Aspergillus fungi, as antileishmanial agent",19326203,"PLoS ONE","9","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,5,3,4,10,3,4,5,2,50,0,50
2014,"Combined kinetic studies and computational analysis on kojic acid analogs as tyrosinase inhibitors",14203049,"Molecules","19","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,4,5,8,5,6,4,3,4,50,0,50
2014,"Comparative study of mercury speciation in commercial fishes of the Brazilian Amazon",09441344,"Environmental Science and Pollution Research","21","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,8,5,10,13,10,10,3,6,3,74,0,74
2014,"Libidibia ferrea mature seeds promote antinociceptive effect by peripheral and central pathway: Possible involvement of opioid and cholinergic receptors",23146133,"BioMed Research International","2014","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,3,1,0,2,1,1,1,18,0,18
2014,"Therapeutic concentration of morphine reduces oxidative stress in glioma cell line",0100879X,"Brazilian Journal of Medical and Biological Research","47","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,4,6,1,2,3,0,29,0,29
2013,"Chickens treated with a nitric oxide inhibitor became more resistant to Plasmodium gallinaceum infection due to reduced anemia, thrombocytopenia and inflammation",09284249,"Veterinary research","44","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,2,3,0,4,3,0,0,1,21,0,21
2013,"Metal-dependent inhibition of HIV-1 integrase by 5CITEP inhibitor: A theoretical QM/MM approach",00092614,"Chemical Physics Letters","583","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,1,6,0,1,14,0,14
2011,"Molecular chaperones: Toward new therapeutic tools",07533322,"Biomedicine and Pharmacotherapy","65","4",0,0,0,0,0,0,0,0,0,0,0,1,6,10,4,2,3,3,0,1,3,1,5,3,0,3,0,45,0,45
2011,"A theoretical study of salicylate oxidation for ADME prediction",10542523,"Medicinal Chemistry Research","20","3",0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,6
